source,metric,mean
Local-Only,trust_retry_count,0.0
Random,trust_retry_count,11.85
Static,trust_retry_count,100.56666666666666
CP-EFT,avg_queue_len,0.1411977803996528
EFT,avg_queue_len,0.1164224967943853
Greedy,avg_queue_len,0.0
LB-Greedy,avg_queue_len,0.10169990146099255
Local-Only,avg_queue_len,1.1624872869552703
Random,avg_queue_len,0.061927083333333334
Static,avg_queue_len,0.20230562219580214
CP-EFT,avg_rsu_queue,1.7436227838450729
EFT,avg_rsu_queue,2.071181856076012
Greedy,avg_rsu_queue,24.33977728960157
LB-Greedy,avg_rsu_queue,1.8560680377568195
Local-Only,avg_rsu_queue,0.0
Random,avg_rsu_queue,0.079
Static,avg_rsu_queue,19.277238379595087
