phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
前期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,26.907396483833214,8.653726016379471,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,58.47669834070622,9.748275869173932,120,120,matched_tail_raw_baseline
后期,EFT,EFT,subtask_success_rate,子任务成功率,higher,58.225061952060486,9.93821932500038,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,87.84801655202163,10.186443774226424,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,subtask_success_rate,子任务成功率,higher,49.22699764422301,10.111103840537668,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,93.86725827422643,2.690848335095657,120,120,matched_tail_raw_baseline
后期,Random,Random,subtask_success_rate,子任务成功率,higher,13.593784478892049,3.71627030770902,120,120,matched_tail_raw_baseline
后期,Static,Static,subtask_success_rate,子任务成功率,higher,88.08902967181636,10.096242540624601,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,91.12259787963424,9.598880124098288,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,23.041666666666668,11.436632748648135,120,120,matched_tail_raw_baseline
中期,EFT,EFT,task_success_rate,任务成功率,higher,24.666666666666668,10.48675301490019,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,task_success_rate,任务成功率,higher,55.625,21.386425640594368,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,task_success_rate,任务成功率,higher,16.166666666666668,9.137910076173004,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,74.5,9.424623568703671,120,120,matched_tail_raw_baseline
中期,Random,Random,task_success_rate,任务成功率,higher,0.16666666666666666,0.9012907022553759,120,120,matched_tail_raw_baseline
中期,Static,Static,task_success_rate,任务成功率,higher,55.875,23.242080968172633,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,75.0,22.351282556774525,120,120,matched_tail_raw_baseline
