episode,step,veh_id,target,power,reward,q_len
1,43,11,12,0.299,-0.017,0
1,44,0,2,0.828,0.130,0
1,44,1,8,0.651,0.130,0
1,44,2,9,0.099,0.130,0
1,44,3,10,0.874,0.130,0
1,44,4,3,0.707,0.130,0
1,44,5,10,0.174,0.130,0
1,44,6,12,0.745,0.130,0
1,44,7,10,0.795,0.130,0
1,44,8,3,0.332,0.130,0
1,44,9,11,0.586,0.130,0
1,44,10,3,0.334,0.130,0
1,44,11,12,0.620,0.130,0
1,45,0,2,0.662,-0.029,0
1,45,1,1,0.386,-0.029,0
1,45,2,7,0.566,-0.029,0
1,45,3,4,0.604,-0.029,0
1,45,4,11,0.177,-0.029,0
1,45,5,7,0.686,-0.029,0
1,45,6,9,0.432,-0.029,0
1,45,7,8,0.914,-0.029,0
1,45,8,9,0.669,-0.029,0
1,45,9,4,0.272,-0.029,0
1,45,10,8,0.143,-0.029,0
1,45,11,8,0.374,-0.029,0
1,46,0,5,0.735,0.015,0
1,46,1,2,0.934,0.015,0
1,46,2,5,0.429,0.015,0
1,46,3,0,0.548,0.015,0
1,46,4,1,0.754,0.015,0
1,46,5,7,0.396,0.015,0
1,46,6,10,0.780,0.015,0
1,46,7,11,0.866,0.015,0
1,46,8,11,0.609,0.015,0
1,46,9,1,0.514,0.015,0
1,46,10,12,0.578,0.015,0
1,46,11,1,0.208,0.015,0
1,47,0,4,0.340,-0.128,0
1,47,1,4,0.550,-0.128,0
1,47,2,10,0.317,-0.128,0
1,47,3,10,0.660,-0.128,0
1,47,4,0,0.795,-0.128,0
1,47,5,12,0.388,-0.128,0
1,47,6,2,0.372,-0.128,0
1,47,7,8,0.345,-0.128,0
1,47,8,7,0.480,-0.128,0
1,47,9,9,0.710,-0.128,0
1,47,10,12,0.569,-0.128,0
1,47,11,11,0.740,-0.128,0
1,48,0,5,0.490,-0.001,0
1,48,1,1,0.453,-0.001,0
1,48,2,7,0.366,-0.001,0
1,48,3,2,0.482,-0.001,0
1,48,4,6,0.469,-0.001,0
1,48,5,9,0.834,-0.001,0
1,48,6,8,0.872,-0.001,0
1,48,7,12,0.364,-0.001,0
1,48,8,3,0.792,-0.001,0
1,48,9,12,0.883,-0.001,0
1,48,10,4,0.738,-0.001,0
1,48,11,8,0.448,-0.001,0
1,49,0,3,0.388,-0.156,0
1,49,1,3,0.208,-0.156,0
1,49,2,11,0.168,-0.156,0
1,49,3,10,0.234,-0.156,0
1,49,4,9,0.825,-0.156,0
1,49,5,1,0.067,-0.156,0
1,49,6,7,0.542,-0.156,0
1,49,7,5,0.456,-0.156,0
1,49,8,0,0.864,-0.156,0
1,49,9,2,0.826,-0.156,0
1,49,10,10,0.571,-0.156,0
1,49,11,11,0.932,-0.156,0
1,50,0,10,0.441,0.045,0
1,50,1,3,0.545,0.045,0
1,50,2,11,0.291,0.045,0
1,50,3,1,0.260,0.045,0
1,50,4,12,0.298,0.045,0
1,50,5,2,0.647,0.045,0
1,50,6,11,0.843,0.045,0
1,50,7,6,0.700,0.045,0
1,50,8,3,0.635,0.045,0
1,50,9,9,0.256,0.045,0
1,50,10,1,0.838,0.045,0
1,50,11,4,0.220,0.045,0
1,51,0,6,0.631,-0.002,0
1,51,1,7,0.867,-0.002,0
1,51,2,3,0.680,-0.002,0
1,51,3,8,0.137,-0.002,0
1,51,4,0,0.757,-0.002,0
1,51,5,1,0.831,-0.002,0
1,51,6,1,0.090,-0.002,0
1,51,7,8,0.794,-0.002,0
1,51,8,9,0.659,-0.002,0
1,51,9,1,0.462,-0.002,0
1,51,10,7,0.374,-0.002,0
1,51,11,9,0.275,-0.002,0
1,52,0,3,0.553,-0.246,0
1,52,1,6,0.898,-0.246,0
1,52,2,7,0.265,-0.246,0
1,52,3,0,0.367,-0.246,0
1,52,4,11,0.635,-0.246,0
1,52,5,9,0.150,-0.246,0
1,52,6,6,0.284,-0.246,0
1,52,7,1,0.848,-0.246,0
1,52,8,10,0.260,-0.246,0
1,52,9,6,0.633,-0.246,0
1,52,10,10,0.607,-0.246,0
1,52,11,3,0.665,-0.246,0
1,53,0,3,0.452,0.033,0
1,53,1,0,0.903,0.033,0
1,53,2,8,0.575,0.033,0
1,53,3,1,0.515,0.033,0
1,53,4,2,0.315,0.033,0
1,53,5,6,0.500,0.033,0
1,53,6,2,0.167,0.033,0
1,53,7,1,0.516,0.033,0
1,53,8,5,0.787,0.033,0
1,53,9,1,0.390,0.033,0
1,53,10,4,0.988,0.033,0
1,53,11,0,0.316,0.033,0
1,54,0,7,0.549,-0.066,0
1,54,1,8,0.148,-0.066,0
1,54,2,2,0.147,-0.066,0
1,54,3,5,0.294,-0.066,0
1,54,4,12,0.440,-0.066,0
1,54,5,0,0.275,-0.066,0
1,54,6,4,0.223,-0.066,0
1,54,7,8,0.410,-0.066,0
1,54,8,4,0.337,-0.066,0
1,54,9,7,0.681,-0.066,0
1,54,10,1,0.209,-0.066,0
1,54,11,0,0.208,-0.066,0
1,55,0,0,0.547,0.060,0
1,55,1,5,0.351,0.060,0
1,55,2,8,0.188,0.060,0
1,55,3,2,0.329,0.060,0
1,55,4,6,0.367,0.060,0
1,55,5,4,0.303,0.060,0
1,55,6,7,0.844,0.060,0
1,55,7,2,0.747,0.060,0
1,55,8,1,0.516,0.060,0
1,55,9,4,0.459,0.060,0
1,55,10,9,0.479,0.060,0
1,55,11,7,0.558,0.060,0
1,56,0,8,0.675,-0.065,0
1,56,1,3,0.510,-0.065,0
1,56,2,2,0.519,-0.065,0
1,56,3,6,0.755,-0.065,0
1,56,4,2,0.191,-0.065,0
1,56,5,2,0.499,-0.065,0
1,56,6,9,0.388,-0.065,0
1,56,7,6,0.486,-0.065,0
1,56,8,7,0.598,-0.065,0
1,56,9,2,0.103,-0.065,0
1,56,10,0,0.589,-0.065,0
1,56,11,3,0.240,-0.065,0
1,57,0,1,0.749,-0.018,0
1,57,1,7,0.554,-0.018,0
1,57,2,7,0.334,-0.018,0
1,57,3,8,0.459,-0.018,0
1,57,4,0,0.349,-0.018,0
1,57,5,3,0.458,-0.018,0
1,57,6,9,0.622,-0.018,0
1,57,7,12,0.598,-0.018,0
1,57,8,0,0.175,-0.018,0
1,57,9,2,0.338,-0.018,0
1,57,10,7,0.825,-0.018,0
1,57,11,2,0.216,-0.018,0
1,58,0,6,0.424,-0.033,0
1,58,1,10,0.320,-0.033,0
1,58,2,0,0.890,-0.033,0
1,58,3,11,0.686,-0.033,0
1,58,4,2,0.420,-0.033,0
1,58,5,11,0.652,-0.033,0
1,58,6,1,0.259,-0.033,0
1,58,7,8,0.491,-0.033,0
1,58,8,0,0.312,-0.033,0
1,58,9,7,0.477,-0.033,0
1,58,10,4,0.470,-0.033,0
1,58,11,1,0.534,-0.033,0
1,59,0,5,0.467,-0.029,0
1,59,1,4,0.206,-0.029,0
1,59,2,2,0.408,-0.029,0
1,59,3,0,0.427,-0.029,0
1,59,4,8,0.546,-0.029,0
1,59,5,2,0.503,-0.029,0
1,59,6,3,0.091,-0.029,0
1,59,7,3,0.308,-0.029,0
1,59,8,4,0.244,-0.029,0
1,59,9,3,0.452,-0.029,0
1,59,10,2,0.243,-0.029,0
1,59,11,5,0.517,-0.029,0
1,60,0,2,0.877,0.000,0
1,60,1,5,0.146,0.000,0
1,60,2,1,0.711,0.000,0
1,60,3,12,0.870,0.000,0
1,60,4,8,0.441,0.000,0
1,60,5,2,0.148,0.000,0
1,60,6,1,0.515,0.000,0
1,60,7,4,0.816,0.000,0
1,60,8,9,0.671,0.000,0
1,60,9,10,0.878,0.000,0
1,60,10,4,0.775,0.000,0
1,60,11,8,0.491,0.000,0
1,61,0,2,0.652,-0.017,0
1,61,1,9,0.446,-0.017,0
1,61,2,5,0.663,-0.017,0
1,61,3,8,0.697,-0.017,0
1,61,4,4,0.292,-0.017,0
1,61,5,0,0.951,-0.017,0
1,61,6,5,0.616,-0.017,0
1,61,7,9,0.705,-0.017,0
1,61,8,6,0.790,-0.017,0
1,61,9,7,0.429,-0.017,0
1,61,10,4,0.679,-0.017,0
1,61,11,11,0.856,-0.017,0
1,62,0,9,0.074,-0.027,0
