window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
全程,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.5732943590118111,0.7543448299390086,-1.6467611796263975,-1.3656041700172847,-1.3656041700172847,-1.6199719910312214,-1.5269370491356171,1000,5.0
全程,EFT,EFT,reward_mean,平均步奖励,higher,-2.3435265993839782,0.523806154663046,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.3771864339085225,-2.312184281989226,1000,6.0
全程,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.54280593399036,0.628020433823545,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,-2.5849979280618434,-2.50360720534329,1000,7.0
全程,Random,Random,reward_mean,平均步奖励,higher,-6.627671353718019,0.8645970989002376,-6.495478220202756,-6.495478220202756,-6.495478220202756,-6.683106025453432,-6.574517577266499,1000,8.0
末100,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.005324480568815487,0.019430444897563418,-0.031042979843914468,-0.0021222855430095998,0.0175520276650786,-0.009083966357553428,-0.0015717240785161411,100,1.0
末100,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.016660086345029405,6.973850769498386e-18,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,-0.016660086345029405,-0.016660086345029405,100,2.0
末100,Static,Static,reward_mean,平均步奖励,higher,-0.09511871396574961,1.3947701538996772e-17,-0.0951187139657496,-0.0951187139657496,-0.0951187139657496,-0.09511871396574961,-0.09511871396574961,100,3.0
末100,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.32853296837607165,5.579080615598709e-17,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,-0.32853296837607165,-0.32853296837607165,100,4.0
末100,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.365604170017285,2.2316322462394835e-16,-1.3656041700172847,-1.3656041700172847,-1.3656041700172847,-1.365604170017285,-1.365604170017285,100,5.0
末100,EFT,EFT,reward_mean,平均步奖励,higher,-2.255059471339274,0.0,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.255059471339274,100,6.0
末100,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.432128804914054,4.463264492478967e-16,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,-2.432128804914054,-2.432128804914054,100,7.0
末100,Random,Random,reward_mean,平均步奖励,higher,-6.495478220202759,2.6779586954873804e-15,-6.495478220202756,-6.495478220202756,-6.495478220202756,-6.495478220202759,-6.495478220202759,100,8.0
末300,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.00527936975578389,0.01703742692805102,-0.027107348106801477,-0.00295246229507025,0.016855257749557415,-0.0071657378055024245,-0.0033784687913915503,300,1.0
末300,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.0166600863450294,0.0,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,300,2.0
末300,Static,Static,reward_mean,平均步奖励,higher,-0.09511871396574959,1.3900975439369117e-17,-0.0951187139657496,-0.0951187139657496,-0.0951187139657496,-0.09511871396574959,-0.09511871396574959,300,3.0
末300,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.3285329683760716,0.0,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,300,4.0
末300,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.3656041700172847,0.0,-1.3656041700172847,-1.3656041700172847,-1.3656041700172847,-1.3656041700172847,-1.3656041700172847,300,5.0
末300,EFT,EFT,reward_mean,平均步奖励,higher,-2.2550594713392735,4.448312140598118e-16,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.2550594713392735,-2.2550594713392735,300,6.0
末300,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.4321288049140546,0.0,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,300,7.0
末300,Random,Random,reward_mean,平均步奖励,higher,-6.495478220202757,8.896624281196235e-16,-6.495478220202756,-6.495478220202756,-6.495478220202756,-6.495478220202757,-6.495478220202757,300,8.0
末500,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.0057155983686188756,0.01617727081652166,-0.02730962149798868,-0.0031592091545462,0.014279575087130025,-0.007143786157511012,-0.004218149105031124,500,1.0
末500,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.016660086345029402,3.472921611764819e-18,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,-0.016660086345029402,-0.016660086345029402,500,2.0
末500,Static,Static,reward_mean,平均步奖励,higher,-0.09511871396574961,1.3891686447059276e-17,-0.0951187139657496,-0.0951187139657496,-0.0951187139657496,-0.09511871396574961,-0.09511871396574961,500,3.0
末500,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.32853296837607165,5.55667457882371e-17,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,-0.32853296837607165,-0.32853296837607165,500,4.0
末500,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.3656041700172845,2.222669831529484e-16,-1.3656041700172847,-1.3656041700172847,-1.3656041700172847,-1.3656041700172845,-1.3656041700172845,500,5.0
末500,EFT,EFT,reward_mean,平均步奖励,higher,-2.255059471339274,0.0,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.255059471339274,-2.255059471339274,500,6.0
末500,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.432128804914055,4.445339663058968e-16,-2.4321288049140546,-2.4321288049140546,-2.4321288049140546,-2.432128804914055,-2.432128804914055,500,7.0
末500,Random,Random,reward_mean,平均步奖励,higher,-6.495478220202757,8.890679326117937e-16,-6.495478220202756,-6.495478220202756,-6.495478220202756,-6.495478220202757,-6.495478220202757,500,8.0
全程,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6583345329463481,0.05768664737797358,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.654718674299866,0.6618954713672399,1000,1.0
全程,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5373455438032746,0.12932578269810932,0.35156276583671575,0.5,0.7097760796546936,0.5294218938788027,0.5453333149202167,1000,2.0
全程,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.4964755702018738,0.022154559768653947,0.5,0.5,0.5,0.4949788513064384,0.49779838770702484,1000,3.0
全程,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.49610392886400223,0.023950915721993406,0.5,0.5,0.5,0.49462976173311474,0.49748598955199125,1000,4.0
全程,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.4950581958293915,0.02638207751106991,0.5,0.5,0.5,0.4933296287380159,0.49663591328412293,1000,5.0
全程,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.4339271723628044,0.07199279965475565,0.4159291982650757,0.4159291982650757,0.4159291982650757,0.42953796153366564,0.4384549610763788,1000,6.0
